iter	MultiClass
0	0.9781118738
1	0.8862355042
2	0.8127506404
3	0.7532132144
4	0.7047910972
5	0.6642735074
6	0.6296433956
7	0.6006527266
8	0.5756323776
9	0.5541354619
10	0.5354673854
11	0.5190999386
12	0.5049540672
13	0.4924586823
14	0.4818270304
15	0.4724665316
16	0.4645467686
17	0.4573376956
18	0.4508907555
19	0.4451883145
20	0.4406026024
21	0.4363428417
22	0.4324193792
23	0.4292523012
24	0.4263525588
25	0.4234924906
26	0.4213246121
27	0.4194107691
28	0.4175739803
29	0.4160743509
30	0.4146945205
31	0.4134587147
32	0.4122269459
33	0.4111561956
34	0.4101519183
35	0.4092938576
36	0.4084642281
37	0.4078196543
38	0.4069680486
39	0.4063524657
40	0.4057848644
41	0.4051660343
42	0.4047356309
43	0.404325807
44	0.4039543199
45	0.4036265234
46	0.4033594581
47	0.4031139776
48	0.4029458234
49	0.4025959229
50	0.4024199707
51	0.4021606554
52	0.4018414741
53	0.4016554031
54	0.4013372244
55	0.4011789823
56	0.4009676471
57	0.4008392627
58	0.4006455239
59	0.4004271357
60	0.400260671
61	0.4001171717
62	0.400023501
63	0.3999154315
64	0.3997475546
65	0.399568972
66	0.3994326969
67	0.3993252919
68	0.3991748399
69	0.3990716815
70	0.3990092894
71	0.3989252723
72	0.3988201895
73	0.3987416596
74	0.3986548504
75	0.3985857129
76	0.398530939
77	0.3984026153
78	0.3983571187
79	0.3982732512
80	0.3981632341
81	0.3980319244
82	0.3979924972
83	0.3979182685
84	0.3977839914
85	0.397743946
86	0.3976214556
87	0.3975210495
88	0.3974504986
89	0.3973848225
90	0.3973177898
91	0.3972936088
92	0.3971383204
93	0.3970879359
94	0.3969914069
95	0.3969680481
96	0.3969228043
97	0.3968414814
98	0.3968170579
99	0.3967864382
100	0.3967662743
101	0.3967421585
102	0.396705732
103	0.3966453856
104	0.3965814945
105	0.3964935598
106	0.3964260057
107	0.3963349487
108	0.3962963229
109	0.3962141259
110	0.3961774719
111	0.3961512348
112	0.3961127313
113	0.3960787818
114	0.3960170408
115	0.3959438445
116	0.3959183971
117	0.395841535
118	0.3958127928
119	0.3957918692
120	0.3957296615
121	0.395706354
122	0.3956267919
123	0.3955635441
124	0.3955142146
125	0.3954420011
126	0.3953661776
127	0.3953397598
128	0.3953103163
129	0.3952979289
130	0.3952740763
131	0.3952292034
132	0.3951645104
133	0.3951306047
134	0.395080592
135	0.3950619412
136	0.395017599
137	0.3949813851
138	0.3949491257
139	0.394879979
140	0.3948456364
141	0.3947948136
142	0.3947568272
143	0.3947062126
144	0.3946702954
145	0.3946514112
146	0.3946255428
147	0.3945960329
148	0.3945590682
149	0.3945099083
150	0.3944902032
151	0.3944649973
152	0.394405854
153	0.3943489733
154	0.3942781866
155	0.394254657
156	0.3942040978
157	0.3941681031
158	0.3941070227
159	0.3940863734
160	0.3940618898
161	0.3939694498
162	0.3938833318
163	0.3938719314
164	0.3938458352
165	0.3937857245
166	0.3937595954
167	0.393730499
168	0.3936812262
169	0.3936354417
170	0.39361734
171	0.3935964283
172	0.3935378234
173	0.3934884594
174	0.3934496552
175	0.3934297738
176	0.393415111
177	0.3933498181
178	0.3932985041
179	0.3932779566
180	0.3932577019
181	0.3932232572
182	0.3931998427
183	0.393167826
184	0.3931510236
185	0.3931329437
186	0.3930904811
187	0.3930727444
188	0.3930461785
189	0.3930016851
190	0.3929883839
191	0.3929687896
192	0.3929412664
193	0.392934108
194	0.3929183204
195	0.3928773055
196	0.3928255916
197	0.3928010872
198	0.3927681464
199	0.3927502334
