iter	Passed	Remaining
0	164	32718
1	182	18100
2	201	13258
3	219	10738
4	239	9336
5	256	8304
6	274	7571
7	290	6977
8	305	6480
9	320	6083
10	337	5805
11	356	5582
12	373	5372
13	391	5204
14	407	5020
15	421	4843
16	440	4739
17	458	4633
18	477	4549
19	502	4524
20	518	4422
21	536	4341
22	552	4255
23	571	4187
24	588	4118
25	607	4065
26	629	4032
27	649	3987
28	667	3934
29	683	3874
30	700	3817
31	717	3768
32	733	3711
33	750	3663
34	766	3611
35	781	3559
36	797	3514
37	815	3478
38	831	3433
39	847	3390
40	862	3345
41	881	3314
42	901	3293
43	918	3255
44	934	3218
45	951	3186
46	965	3144
47	981	3108
48	996	3070
49	1013	3040
50	1029	3008
51	1045	2975
52	1061	2944
53	1078	2915
54	1095	2888
55	1110	2854
56	1124	2820
57	1141	2794
58	1157	2766
59	1174	2741
60	1192	2716
61	1210	2694
62	1227	2668
63	1243	2642
64	1264	2626
65	1283	2605
66	1299	2579
67	1315	2553
68	1332	2529
69	1352	2511
70	1373	2494
71	1390	2471
72	1413	2458
73	1436	2446
74	1453	2422
75	1470	2398
76	1493	2386
77	1512	2366
78	1528	2341
79	1548	2323
80	1568	2304
81	1587	2284
82	1604	2262
83	1621	2239
84	1644	2224
85	1664	2206
86	1681	2183
87	1702	2166
88	1717	2142
89	1740	2127
90	1758	2106
91	1775	2084
92	1797	2067
93	1813	2045
94	1832	2025
95	1853	2008
96	1869	1985
97	1890	1967
98	1905	1944
99	1922	1922
100	1938	1900
101	1958	1882
102	1979	1863
103	1994	1841
104	2013	1821
105	2035	1805
106	2055	1786
107	2079	1771
108	2098	1751
109	2116	1732
110	2135	1712
111	2151	1690
112	2170	1670
113	2188	1651
114	2205	1630
115	2223	1610
116	2245	1593
117	2263	1573
118	2282	1553
119	2300	1533
120	2320	1515
121	2342	1497
122	2359	1477
123	2380	1459
124	2401	1441
125	2420	1421
126	2441	1403
127	2475	1392
128	2495	1373
129	2514	1353
130	2532	1333
131	2553	1315
132	2573	1296
133	2589	1275
134	2605	1254
135	2622	1234
136	2640	1214
137	2656	1193
138	2675	1174
139	2695	1155
140	2714	1135
141	2733	1116
142	2754	1098
143	2777	1080
144	2796	1060
145	2814	1041
146	2835	1022
147	2855	1003
148	2874	983
149	2893	964
150	2907	943
151	2931	925
152	2950	906
153	2968	886
154	2987	867
155	3003	847
156	3021	827
157	3044	809
158	3062	789
159	3082	770
160	3098	750
161	3118	731
162	3141	713
163	3161	694
164	3177	674
165	3197	654
166	3213	635
167	3231	615
168	3251	596
169	3270	577
170	3289	557
171	3311	539
172	3333	520
173	3351	500
174	3371	481
175	3391	462
176	3409	443
177	3428	423
178	3449	404
179	3466	385
180	3484	365
181	3501	346
182	3517	326
183	3537	307
184	3553	288
185	3573	268
186	3590	249
187	3608	230
188	3628	211
189	3650	192
190	3666	172
191	3681	153
192	3701	134
193	3716	114
194	3732	95
195	3754	76
196	3778	57
197	3798	38
198	3819	19
199	3838	0
